Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,145,16,P:Microsoft.AspNetCore.SpaServices.SpaOptions.SourcePath,,,,,"spa.Options.SourcePath = ""./ObsToolClient"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,143,12,T:Microsoft.AspNetCore.Builder.SpaApplicationBuilderExtensions,,,,,"app.UseSpa(spa =>              {                  spa.Options.SourcePath = ""./ObsToolClient"";                    // Disabled, I run npm start from VS Code for development                  //if (env.IsDevelopment())                  //{                  //    spa.UseReactDevelopmentServer(npmScript: ""start"");                  //}              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,143,12,"M:Microsoft.AspNetCore.Builder.SpaApplicationBuilderExtensions.UseSpa(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.Action{Microsoft.AspNetCore.SpaServices.ISpaBuilder})",,,,,"app.UseSpa(spa =>              {                  spa.Options.SourcePath = ""./ObsToolClient"";                    // Disabled, I run npm start from VS Code for development                  //if (env.IsDevelopment())                  //{                  //    spa.UseReactDevelopmentServer(npmScript: ""start"");                  //}              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,121,12,T:Microsoft.Extensions.DependencyInjection.SpaStaticFilesExtensions,,,,,app.UseSpaStaticFiles();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,121,12,M:Microsoft.Extensions.DependencyInjection.SpaStaticFilesExtensions.UseSpaStaticFiles(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseSpaStaticFiles();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,102,16,P:Microsoft.AspNetCore.SpaServices.StaticFiles.SpaStaticFilesOptions.RootPath,,,,,"configuration.RootPath = ""ObsToolClient/build"";"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,100,12,T:Microsoft.Extensions.DependencyInjection.SpaStaticFilesExtensions,,,,,"services.AddSpaStaticFiles(configuration =>              {                  configuration.RootPath = ""ObsToolClient/build"";              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,100,12,"M:Microsoft.Extensions.DependencyInjection.SpaStaticFilesExtensions.AddSpaStaticFiles(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.Action{Microsoft.AspNetCore.SpaServices.StaticFiles.SpaStaticFilesOptions})",,,,,"services.AddSpaStaticFiles(configuration =>              {                  configuration.RootPath = ""ObsToolClient/build"";              });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,72,20,M:System.TimeSpan.FromMinutes(System.Double),,,,,cookieOptions.ExpireTimeSpan = TimeSpan.FromMinutes(30);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,36,12,T:Microsoft.AspNetCore.Mvc.CompatibilityVersion,,,,,"services.AddControllers(config =>              {                  // For default lock-down and then opt out with AllowAnonymous annotations                  if (bool.Parse(Configuration[""EnableAuthentication""]))                  {                      var policy = new AuthorizationPolicyBuilder().RequireAuthenticatedUser().Build();                      config.Filters.Add(new AuthorizeFilter(policy));                  }              })              .SetCompatibilityVersion(CompatibilityVersion.Version_3_0);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,36,12,T:Microsoft.AspNetCore.Mvc.CompatibilityVersion,,,,,"services.AddControllers(config =>              {                  // For default lock-down and then opt out with AllowAnonymous annotations                  if (bool.Parse(Configuration[""EnableAuthentication""]))                  {                      var policy = new AuthorizationPolicyBuilder().RequireAuthenticatedUser().Build();                      config.Filters.Add(new AuthorizeFilter(policy));                  }              })              .SetCompatibilityVersion(CompatibilityVersion.Version_3_0);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,36,12,F:Microsoft.AspNetCore.Mvc.CompatibilityVersion.Version_3_0,,,,,"services.AddControllers(config =>              {                  // For default lock-down and then opt out with AllowAnonymous annotations                  if (bool.Parse(Configuration[""EnableAuthentication""]))                  {                      var policy = new AuthorizationPolicyBuilder().RequireAuthenticatedUser().Build();                      config.Filters.Add(new AuthorizeFilter(policy));                  }              })              .SetCompatibilityVersion(CompatibilityVersion.Version_3_0);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ObsTool\ObsTool.csproj,File,ObsTool\Startup.cs,36,12,"M:Microsoft.Extensions.DependencyInjection.MvcCoreMvcBuilderExtensions.SetCompatibilityVersion(Microsoft.Extensions.DependencyInjection.IMvcBuilder,Microsoft.AspNetCore.Mvc.CompatibilityVersion)",,,,,"services.AddControllers(config =>              {                  // For default lock-down and then opt out with AllowAnonymous annotations                  if (bool.Parse(Configuration[""EnableAuthentication""]))                  {                      var policy = new AuthorizationPolicyBuilder().RequireAuthenticatedUser().Build();                      config.Filters.Add(new AuthorizeFilter(policy));                  }              })              .SetCompatibilityVersion(CompatibilityVersion.Version_3_0);"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ObsTool.Test\ObsTool.Test.csproj,File,ObsTool.Test\ObsTool.Test.csproj,,,,,,,,Current target framework: netcoreapp3.0 Recommended target framework: net10.0
